FName,LName,Email,Subscribed,Plate,Pass,Phone,Lat,Long,UUID
Eddy,Barrett,e.barrett@email.com,True,BWOMS1,123456,+61494831268,-21.75369,129.406366,an3vy9x3miz1
Abraham,Morgan,a.morgan@email.com,True,ZM9VGF,password,+61466288537,-33.907338,111.895303,jb3uiycxmfdq
Sarah,Barrett,s.barrett@email.com,False,RI20XT,12345678,+61453182286,-19.156566,140.252872,6u4dmoeb2ms4
Lana,Barnes,l.barnes@email.com,True,1SPAVS,qwerty,+61418524299,-17.063049,143.212585,j66oj5kooolm
Vincent,Harper,v.harper@email.com,False,1XNGCM,123456789,+61490579446,-39.846286,142.982545,ps9ygpp9459z
Madaline,Gibson,m.gibson@email.com,False,D1DLDU,12345,+61430037257,-33.381511,118.182378,w6f4vft2kezd
Daryl,Barrett,d.barrett@email.com,False,LZBI4X,1234,+61454975337,-33.853549,141.650697,4hmn2a4kowtp
Sam,Turner,s.turner@email.com,True,MSQD8G,111111,+61475052326,-38.822415,132.467147,a7p3h7ipd9rv
Eleanor,Hamilton,e.hamilton@email.com,False,4Z0USS,1234567,+61480404551,-32.704585,139.387019,dpwtv2cjn3zy
Elian,Parker,e.parker@email.com,False,3N8Y38,dragon,+61425294393,-26.879737,139.824438,vasvw9rtwh8p
Cherry,Barrett,c.barrett@email.com,True,GV575F,123123,+61418461483,-30.694392,124.026128,7vz0pj01edvt
Sam,Kelley,s.kelley@email.com,False,B6HHUN,baseball,+61443081855,-16.452952,138.633755,qy1j56baftue
Connie,Barnes,c.barnes@email.com,True,AER5R7,abc123,+61418023855,-11.718144,117.833633,3josj6kj4lkk
Aston,Clark,a.clark@email.com,True,KVYPGS,football,+61499318841,-16.730115,135.714651,14n8lul79o0a
Julia,Richards,j.richards@email.com,True,HHW7PR,monkey,+61424549463,-29.564819,114.449366,acra8z5c9r7y
Blake,Carroll,b.carroll@email.com,False,0TOUXM,letmein,+61496385146,-12.377702,146.586481,k4434a67iaoe
